Name_Category,ESM356_H_1_1,ESM356_H_1_2,ESM356_H_2_1,ESM356_H_2_2,ESM356_H_3_1,ESM356_H_3_2,ESM356_D_1_1,ESM356_D_1_2,ESM356_D_2_1,ESM356_D_2_2,ESM356_D_3_1,ESM356_D_3_2,CDC48_H_1_1,CDC48_H_1_2,CDC48_H_2_1,CDC48_H_2_2,CDC48_H_3_1,CDC48_H_3_2,CDC48_D_1_1,CDC48_D_1_2,CDC48_D_2_1,CDC48_D_2_2,CDC48_D_3_1,CDC48_D_3_2
YGR065C,3436.9631,2930.6172,1051.2197,1084.7992,2531.1946,2271.6562,3775.3442,3660.4812,1523.8314,1974.5587,2395.6665,2082.3643,5417.8584,4813.429,4408.2563,3378.5063,4283.0444,3816.7542,4705.6963,4249.6924,3142.5903,3235.5405,4000.7273,3849.2703
YFL008W,11741.211,13428.514,8396.445,10701.561,8791.631,9382.467,5381.6846,9282.086,8384.035,11068.002,10603.521,14439.493,12580.73,14052.197,20730.244,19212.486,17007.105,16545.145,13882.504,13776.433,17108.635,14790.011,14829.568,14434.1875
YGR178C,12954.949,10650.391,9568.969,8880.177,9746.253,10396.426,7280.2227,9432.115,12510.008,11223.868,16313.601,14243.295,16012.585,16772.838,19740.92,19924.904,16410.754,15745.067,19177.857,18012.715,19675.543,18091.812,20476.082,19075.992
YDR406W,8339.162,9970.977,7404.3,8606.073,6248.454,8682.164,7838.0127,7223.8037,8142.566,7352.284,8703.312,8879.617,13128.734,11771.432,17165.623,14515.43,13125.865,13441.174,13317.601,13253.432,8810.959,11592.562,13090.875,13772.473
YPL084W,21656.8,23710.092,20709.61,25652.244,17875.732,23395.334,19665.234,25108.297,16362.152,23166.545,22517.545,28080.02,28892.61,27675.287,38998.613,35527.97,36341.086,36326.633,25818.414,32725.484,27487.184,29724.264,35755.195,33361.273
YPL067C,3480.3218,3457.7698,2817.5156,3526.7485,3047.3105,4204.646,3390.8003,5415.5693,2643.2136,3957.8496,2831.165,3947.4612,5326.216,4849.058,6806.7188,5431.096,5638.2695,5744.9863,4423.795,4996.282,4788.093,5588.9062,6584.6304,5751.443
YDL150W,2129.5796,2142.2988,2252.397,1990.1775,1887.5776,2167.766,2249.1982,2149.0945,2138.0894,1945.3091,2595.5332,2903.071,3103.7485,3115.2153,5655.1533,2365.4954,3265.5063,2871.5125,2550.647,5530.2886,2201.6868,4340.6206,3572.7856,2182.7053
YGL049C,5932.8267,4293.441,6270.203,5272.2734,6188.3115,5298.5015,7945.6084,5803.837,7484.5977,5122.537,6505.7646,7186.757,7268.5527,7559.26,10015.761,11098.038,8912.179,7293.253,6284.424,8556.929,7242.1484,6206.34,7613.137,9303.111
YOR356W,4206.685,5613.593,5809.168,3269.8252,4630.6,3338.2117,5880.285,2535.7705,5505.76,3791.2583,4052.9731,6184.468,5442.199,5836.708,7708.1113,5829.201,8412.892,5108.1567,4773.226,5112.3877,5553.059,5687.8247,6371.33,6206.1343
YAL017W,2792.4639,2726.239,3485.7534,1399.488,2464.3884,3309.883,2116.4531,1695.6746,2549.0774,1379.6716,2759.0117,1798.6675,2923.709,3952.5552,2898.3782,3355.8926,2638.745,2870.6628,2400.8445,1378.5043,2404.165,3397.1985,2196.0186,3094.7107
YOR327C,6397.884,6916.9307,9432.278,6198.1133,10098.324,10951.028,5388.689,4876.147,4728.2017,6159.466,9017.762,6932.246,11526.893,12310.096,9840.962,10086.687,9317.576,7855.8184,7110.309,6553.795,7181.365,8259.753,7430.944,8602.309
YPR159W,4932.164,4356.4834,4514.5674,3136.5088,4620.2153,3326.8892,5355.5723,3735.0334,3895.167,3136.1194,3952.5654,3550.896,5215.2812,6778.3926,4533.661,6706.555,5284.071,6184.4326,4185.4297,4435.3164,2892.8494,4942.8228,4589.837,4947.328
YDR365C,5213.015,4951.313,5097.032,3187.1367,4652.4224,4377.889,4482.5825,4382.6807,4842.1294,2998.4058,4948.192,4257.1245,6711.2227,5551.1675,7061.742,6464.328,7369.0557,15009.193,5695.346,5044.746,5615.193,4733.2686,4056.58,4877.383
YDR411C,9095.271,9193.343,9072.072,9534.518,8508.454,9433.059,8821.902,10719.914,7607.107,4201.63,8754.823,9401.695,13190.768,12110.19,13242.832,13868.678,15454.508,17497.135,11032.133,11775.686,10380.293,12141.708,11564.164,12049.567
YNL220W,28415.87,46478.125,40398.17,27636.082,36783.383,34703.484,37552.445,20282.082,32853.75,28697.709,22436.84,28460.508,49240.074,49057.062,37498.664,58422.562,44630.445,60538.55,33842.785,36664.25,37541.617,37543.55,28784.824,38485.246
YNL229C,2064.311,3427.1392,3344.746,2534.5273,2878.7368,2869.2412,2789.036,1610.8958,1973.958,2595.77,3408.0386,2402.3438,4290.1816,4830.5366,3975.956,4254.425,3720.249,5047.2207,2897.929,3282.5247,2538.8462,3137.1284,3014.454,4614.9814
YPL195W,2668.8052,3550.105,5936.7026,3121.7478,2865.9775,4237.059,3448.5833,3410.149,3236.6543,3262.876,7274.1763,2783.979,6697.1343,6392.4927,6429.6973,6446.5615,5707.4595,5814.717,5168.93,5095.0547,4626.3564,4197.648,4521.491,5433.085
YNL090W,7050.22,7176.0684,7190.9688,8001.2837,7807.8086,8671.722,4491.3223,4313.4355,2220.093,3687.794,7040.0337,5239.5596,6487.7773,9334.189,7291.5303,8327.447,7846.943,9608.447,7915.1504,8894.558,7109.757,8990.286,9506.076,9531.436
YDR141C,3726.0833,6106.3677,4178.1025,4418.958,6502.4287,4346.9136,4354.5723,4314.841,4362.3423,3986.1787,4581.8843,4149.9707,5703.9863,6188.103,6832.026,6773.1064,5165.0366,6075.676,7206.932,5658.588,4140.812,6796.508,6696.5137,6451.9224
YKL128C,2615.8994,3380.2456,3427.0503,2923.161,3990.378,2732.6646,3858.1636,2886.988,2699.9653,2257.6355,3021.586,2727.9404,2724.0044,4661.0757,2895.528,4633.752,3221.0493,4495.967,2957.0327,4391.338,3458.2278,3487.6768,2746.7515,4491.5737
YDL018C,1669.5293,2868.7847,2759.2317,2466.7822,2675.351,2858.029,2695.149,2710.5107,2744.5103,2448.317,2411.1594,1955.5388,2783.9355,3330.482,2964.332,3325.226,3060.2485,3904.9038,2946.7236,3678.5684,2416.6924,3607.6875,2787.6401,3750.0645
YBR015C,7940.203,12345.854,8388.536,7866.6616,7182.657,8504.611,8186.8877,8958.06,8994.919,8070.1274,8812.391,8792.628,8902.381,7183.853,8818.585,11074.344,8872.205,11945.57,9551.096,9116.651,9439.172,11797.482,9601.273,9821.116
YJL186W,3546.5234,3626.9302,3227.037,3943.165,3211.6035,3800.767,3586.7134,3615.4348,3386.3748,3442.7075,3950.8374,3807.976,3622.5325,3917.9275,3283.4329,3833.9033,3372.6992,3948.5771,3882.8745,4171.4697,3667.8818,4443.635,3912.6685,4602.709
YMR202W,23449.443,22870.004,20377.145,20026.06,19443.785,24094.074,23923.506,22512.83,24035.867,26038.639,22302.947,23475.102,24325.506,28927.887,24665.07,24964.818,23859.81,25202.912,23017.486,28848.709,24745.754,30064.875,25121.38,33683.12
YNL265C,2517.6802,2619.9463,2453.0947,2845.983,2200.2073,3106.0957,2621.8135,2841.2852,2871.3357,2527.9727,3162.6572,2829.568,2298.3354,3339.548,2162.245,3804.9436,2153.941,3529.4197,2918.4011,3080.865,3212.8333,3323.7825,3080.5625,3308.516
YOR099W,9378.917,10508.561,9647.966,9943.614,9268.909,10304.099,11157.235,12752.707,9922.306,10755.443,10089.411,10937.175,10714.807,13680.152,9151.844,12116.516,10033.599,12840.439,12594.553,14326.631,11271.739,13215.204,12810.651,14120.747
YKR043C,18186.252,20071.854,18779.082,20642.457,18176.77,18321.984,19870.564,21610.316,17270.148,19059.379,18048.54,17728.861,18341.578,22068.113,18175.09,23471.762,17986.686,22378.738,20193.906,21678.05,20340.809,22588,20400.395,22447.71
YPL009C,5637.257,6135.4873,7093.215,6295.531,6538.82,6118.3477,7067.294,6653.953,6064.8604,6035.2573,6543.1577,6232.575,5599.1006,6431.579,5285.161,7567.591,5989.3584,8583.328,6011.742,6379.5107,6154.6543,7385.159,6407.9873,8273.136
YGR208W,12251.068,11830.095,10811.645,10106.796,6911.1694,11088.867,11270.713,10987.932,10376.243,11806.51,9903.204,11339.645,10891.289,10959,11279.095,11934.148,13184.892,13179.725,12071.627,12421.022,7225.9385,9959.268,11123.184,11500.337
YDR005C,3802.2334,4372.8105,4288.8784,4506.161,2796.2195,4374.034,4387.945,4893.0146,3735.9749,4137.4966,3735.6316,4328.5063,5009.4062,4916.477,3638.3857,4071.284,4726.8633,5323.6875,4590.2827,4795.87,3609.6604,4265.6177,4422.9507,4862.1865
YHR169W,2036.0248,2572.4941,1955.1309,2468.9692,1897.0028,1659.5411,2369.503,2853.767,2323.5964,2352.2212,1599.6125,1487.3706,1783.4458,2285.0244,1666.6794,2632.1582,3017.0513,2738.2637,1947.9952,3129.746,1809.8303,1674.5405,2545.4333,1959.7076
YPR140W,2126.889,2313.8066,1962.1255,2221.651,1871.0532,2903.58,2587.7788,3098.7168,2114.4653,2967.9946,1679.0962,2444.8486,2108.019,2499.4878,1842.1106,2494.6726,2163.4028,3071.6614,2054.63,2295.0913,2090.4697,2137.2532,2235.9932,2122.7178
YDR430C,3986.6768,4427.9023,3349.0312,4629.949,3402.6133,5003.8887,4417.554,5137.775,3479.4072,5113.561,3329.5166,4291.16,2644.2432,4005.8848,4610.7886,3761.709,5101.3477,4346.998,3306.797,3910.949,3648.6567,4031.7114,4295.6323,4058.1118
YER099C,8687.547,11540.326,11388.466,12194.863,8649.313,12434.785,11297.85,11162.318,6916.9365,12750.404,9712.784,12414.564,6860.67,11636.946,9488.311,6843.6924,11992.503,11736.722,12102.061,10855.588,9472.637,12116.426,11542.758,10534.097
YOR163W,7876.8013,7777.135,8488.209,11991.717,8197.907,10006.885,9676.362,12233.987,7425.925,11766.633,7585.2886,6714.142,8006.0864,11645.776,9343.209,7047.739,8929.055,11735.936,6742.662,10324.056,8602.449,11797.576,10459.754,8614.723
YPR173C,5562.732,7338.3564,6341.7134,7616.257,6214.864,6733.259,8792.652,11203.088,6144.4834,8249.476,5085.2935,8930.741,7182.189,8781.709,8136.0103,5922.4775,7803.67,7861.084,8260.735,7317.345,7950.669,9873.891,7357.0933,7974.6084
YLR399C,6556.713,5381.734,4433.2544,5350.574,5751.7734,6408.499,5320.864,4216.2666,2410.9102,4805.798,3907.4583,5716.979,6990.002,5920.379,8020.002,5122.683,6170.6143,6860.7515,7549.7695,5733.7417,7595.2715,8086.683,4641.6035,3896.518
YER164W,5649.0996,3314.2368,3322.3484,5545.968,5877.7695,3994.575,5376.187,4681.126,2879.9878,4543.216,4782.439,4424.671,5882.63,3146.7349,6471.6865,3312.1824,6903.984,3320.7874,6819.7334,5579.897,6472.9897,5132.784,5750.599,3620.4934
YPL246C,7832.503,6548.038,8187.824,7734.4126,9555.543,7952.956,9287.484,7588.2217,6737.206,7515.437,6474.124,6907.5596,10635.59,7725.332,13080.147,8420.555,12171.667,7371.0293,9932.47,8433.331,8358.427,8595.999,8654.242,7239.694
YLR410W,6673.333,8273.111,7081.614,11312.828,6741.9683,9109.057,7482.2847,7550.4873,7844.1143,7997.8423,7102.6445,9388.1045,12073.717,8996.231,9751.47,9201.049,9488.648,9454.152,8100.2305,8421.273,12626.877,9223.485,7877.8535,8967.615
