Name_Category,SK1_D_1_1,SK1_D_1_2,SK1_D_2_1,SK1_D_2_2,SK1_D_3_1,SK1_D_3_2,SK1_H_1_1,SK1_H_1_2,SK1_H_2_1,SK1_H_2_2,SK1_H_3_1,SK1_H_3_2,bPAC_D_1_1,bPAC_D_1_2,bPAC_D_2_1,bPAC_D_2_2,bPAC_D_3_1,bPAC_D_3_2,bPAC_H_1_1,bPAC_H_1_2,bPAC_H_2_1,bPAC_H_2_2,bPAC_H_3_1,bPAC_H_3_2
YOR096W_SK1,122678.234,121850.44,121311.97,111755.64,133617.94,129360.45,126832.016,104122.83,125914.875,109325.88,110062.016,106803.91,204951.9,168800.81,199602.69,154671.38,204500.47,139949.94,176303.52,139735.11,203527.36,171740.78,199372.19,147486.94
YKL103C_SK1,56203.82,51343.773,60963.137,54640.85,67030.81,58720.97,60218.594,50937.605,52045.246,47656.71,65197.312,64443.926,84636.47,75682.945,84850.26,63388.25,89701.67,66782.266,80185.49,63358.406,84611.266,65821.58,81111.7,63302
YNR057C_SK1,43999.836,39025.11,49560.273,43714.047,48684.29,44707.117,45816.902,37696.574,46551.82,41692.86,45678.273,46793.6,62973.668,54972.11,64436.203,55312.688,54634.65,51775.49,54595.605,48359.074,58693.188,56166.215,61812.633,49707.58
YPL260W_SK1,16562.219,14241.689,16091.18,14969.903,16112.115,12655.791,14144.514,13995.981,15865.352,12636.223,13426.788,14616.885,19540.7,18551.088,18951.092,15385.008,18681.408,12843.322,18383.979,18055.984,19109.91,15164.414,15035.965,16590.217
YFR010W_SK1,31007.115,34181,31093.492,28882.225,31265.27,30404.094,23328.021,27598.045,29933.383,28147.127,30945.967,27046.916,36086.676,33323.742,39763.65,30756.807,41896.266,31085.18,37170.773,32778.93,39848.11,37917.69,31964.865,33831.47
YHR051W_SK1,68956.95,54385.434,48144.934,37605.688,51975.766,44648.348,41625.977,33065.23,53367.24,47236.676,44737.344,37604.676,71036.81,65648.94,78660.81,64243.816,76377.59,63505.234,65642.78,51456.49,67064.23,60060.5,58712.89,54008.08
YGL062W_SK1,26159.504,23218.906,23064.22,16881.742,22795.766,18362.324,17526.865,14560.676,13735.454,19180.184,11858.418,11652.954,29218.043,28317.047,25035.188,23516.79,27448.633,23690.184,28212.957,24453.383,26983.861,24593.104,21808.867,23503.227
YLR295C_SK1,22950.066,20471.883,22268.852,18791.994,19485.254,20227.512,12647.91,13574.971,24194.734,19697,14364.482,17049.094,24067.074,26536.441,25475.975,23030.438,30336.03,27650.492,25606.3,21013.91,24115.36,22916.926,25000.025,23114.574
YOR136W_SK1,149729.34,144092.28,124194.05,108707.43,113173.71,110968.195,105089.71,94417.445,136455.53,136542.45,116822.125,112532.38,148669.25,161678.66,153433.75,137441.1,160386.66,136870.44,132072.62,115882.67,137451.12,130220.24,123857.11,124229.17
YNR035C_SK1,26456.91,24382.863,21685.07,21596.752,23552.115,23924.441,21028.777,20352.648,23170.18,23632.879,19225.52,19948.748,27459.395,28335.424,28590.455,26005.94,29595.328,25743.43,26433.488,24692.553,27330.229,27370.805,23151.309,24036.893
