Name_Category,ESM356Leu_D_1_1,ESM356Leu_D_1_2,ESM356Leu_D_2_1,ESM356Leu_D_2_2,ESM356Leu_D_3_1,ESM356Leu_D_3_2,ESM356Leu_H_1_1,ESM356Leu_H_1_2,ESM356Leu_H_2_1,ESM356Leu_H_2_2,ESM356Leu_H_3_1,ESM356Leu_H_3_2,Clb2_D_1_1,Clb2_D_1_2,Clb2_D_2_1,Clb2_D_2_2,Clb2_D_3_1,Clb2_D_3_2,Clb2_H_1_1,Clb2_H_1_2,Clb2_H_2_1,Clb2_H_2_2,Clb2_H_3_1,Clb2_H_3_2
YPL019C,4144.57,6320.471,4948.328,3980.1162,5226.661,4229.3545,4853.683,3601.562,6262.3237,4847.6997,6761.526,4455.445,8504.387,3814.9932,6848.422,4084.1736,7316.5117,3925.4744,6493.097,4794.168,3014.355,3747.5664,6485.0327,4975.2036
YIL022W,21716.045,19162.412,23139.816,19521.234,23737.496,20443.805,23874.45,21051.055,24524.053,21037.906,22222.988,20668.102,45317.82,20834.377,21325.766,21619.04,19122.85,21402.87,44701.938,22267.414,20226.36,22236.604,24066.74,23887.41
YDR071C,49292.355,50743.832,51263.715,50479.74,50527.594,51605.37,51077.59,51030.746,52000.56,52904.453,48651.65,45743.418,131463.2,54953.133,57640.61,50855.062,52326.36,42070.164,51651.113,50084.227,53003.6,51456.355,57438.2,55989.79
YML093W,3516.225,1893.7612,3960.6077,2318.9648,3971.3655,4904.353,3642.726,2583.623,4912.6973,5788.6567,4185.3647,3749.1006,2329.0137,2892.7195,3674.283,2846.6572,3547.023,2910.438,4928.6533,3740.5415,1599.9674,3545.6516,4263.865,3612.5776
YER125W,19361.553,19531.904,17585.475,18265.248,34530.39,41076.89,18556.445,20868.79,20456.564,44769.547,20924.426,17879.129,22983.535,20605.633,22559.902,21406.3,21443.191,20183.748,23451.688,21919.48,22378.408,21331.312,23010.23,22519.764
YIL063C,9447.771,10282.595,9596.68,12122.061,19742.344,11679.767,18340.996,12538.297,18168.703,13135.015,10599.193,11912.896,19441.486,12463.042,19238.678,12254.369,16431.998,11309.992,15768.941,12453.102,13855.197,12384.064,21303.383,13197.1875
YOR109W,7204.869,7016.048,6853.396,10234.182,13993.437,10357.137,13136.455,7023.073,10649.773,13786.404,8528.741,9397.806,10932.277,11262.952,15318.0625,13731.369,12304.677,9477.718,14355.868,12765.407,10853.877,10610.349,15590.862,11390.803
YDR175C,807.1515,1692.3386,2099.4565,1896.3374,2951.7617,3267.3516,2631.5342,2296.0557,2699.6167,3298.2043,1928.9476,1502.0414,3111.0227,2655.2063,3327.0981,2457.805,3352.4297,3124.445,3352.1318,2428.9429,2409.0364,3015.0627,3227.3928,2272.6328
YDL085W,8861.54,6272.3184,7963.9805,7418.4414,11416.945,8536.8955,7869.125,7123.9824,8569.471,7190.702,8698.966,7605.827,9520.418,7905.6855,9429.8125,8636.479,7595.9434,9923.364,9281.296,8521.651,4482.407,7873.5977,8480.246,6764.4297
YDR284C,13382.291,12851.325,13920.325,11545.898,14231.822,14278.548,15043.918,14297.065,15939.698,7580.9814,14481.388,13612.924,13497.36,13102.094,11716.85,11099.641,11074.758,11882.3125,11973.694,11727.618,10100.295,11300.176,14222.423,12474.593
YOL098C,11157.326,12768.32,10235.264,9558.204,14386.827,9595.04,12319.141,9519.47,10146.045,8532.881,11228.865,14523.337,13874.335,12279.69,10168.922,9945.915,9875.554,11264.145,10894.035,11884.768,9694.087,8279.783,11424.075,9775.828
YJL155C,5656.237,6913.897,5871.875,7424.9824,8298.211,6642.426,6080.225,7126.8633,6568.2515,7686.9443,7718.437,5276.754,7898.0835,6916.043,5714.958,5837.0957,5459.8994,6085.2173,9926.346,5998.271,4860.7817,5624.9956,6349.992,5954.0938
YKL146W,2069.7517,2293.0479,2288.713,2206.92,2310.763,2484.629,2554.6523,2472.2876,2676.7285,2834.5173,3381.8037,2553.1187,3420.0515,2038.6248,2046.815,2056.6404,1988.386,2117.3623,3207.0176,2192.409,1945.989,2155.1404,2259.2908,2345.2856
YJL165C,5642.202,5391.666,3842.851,1886.4767,4747.656,5037.7666,3963.7363,2243.4358,3621.6978,2388.7317,3475.29,2182.0615,3404.3967,2233.4937,3551.0999,3941.0212,3656.2378,4346.248,2813.4238,3214.4995,2033.8232,3597.7573,3189.2827,4531.256
